o:id,url,dcterms:identifier,o:resource_class,o:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:replaces,dcterms:isReplacedBy,dcterms:spatial,dcterms:language,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:contributor
5498,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5498,iwac-collection-0000051,o:ItemSet,La Nouvelle Marche,Articles provenant du journal La Nouvelle Marche (1980-1991),,1980/1991,Togo-Presse,Togo-Presse,Togo,Français,In Copyright - Educational Use Permitted,Togo-Presse,Bibliothèque d'État de Berlin,Frédérick Madore
5499,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5499,iwac-collection-0000052,o:ItemSet,Togo-Presse,Articles provenant du journal Togo-Presse (1991-2023),,1991/2023,La Nouvelle Marche,La Nouvelle Marche,Togo,Français,In Copyright - Educational Use Permitted,Togo-Presse,Bibliothèque d'État de Berlin|Bibliothèque nationale du Togo,Frédérick Madore
5500,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5500,iwac-collection-0000053,o:ItemSet,Matin Libre,Métadonnées d'articles provenant du journal Matin Libre (2015-2023),,2015/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
5501,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5501,iwac-collection-0000054,o:ItemSet,Le Matinal,Métadonnées d'articles provenant du journal Le Matinal (2013-2021),,2013/2021,,,Bénin,Français,In Copyright,,,Frédérick Madore
5502,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5502,iwac-collection-0000055,o:ItemSet,Bénin Intelligent,Métadonnées d'articles provenant du journal Bénin Intelligent (2019-2023),,2019/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
5503,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/5503,iwac-collection-0000056,o:ItemSet,L'Evénement,Métadonnées d'articles provenant du journal L'Evénement (2002-2018),,2002/2018,,,Burkina Faso,Français,In Copyright,,Institut de Recherche pour le Développement,Frédérick Madore
9458,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/9458,iwac-collection-0000057,o:ItemSet,Courrier du Golfe,Articles provenant du journal Courrier du Golfe (1991-1992),,1991/1992,,,Togo,,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Bibliothèque nationale du Togo,Frédérick Madore
10223,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/10223,iwac-collection-0000058,o:ItemSet,Islam Hebdo,Métadonnées du journal islamique Islam Hebdo (2020-2023),,2020/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
15845,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/15845,iwac-collection-0000059,o:ItemSet,Le Patriote,,,,,,Côte d'Ivoire,Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
23253,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/23253,iwac-collection-0000060,o:ItemSet,Islam Info,Hebdomadaire islamique de Côte d'Ivoire,,2005/2022,,,Côte d'Ivoire,Français,In Copyright - Educational Use Permitted,Éditions ALIF Islam Info,Frédérick Madore|Ibrahim Doumbia|Issouf Binaté,Frédérick Madore
23273,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/23273,iwac-collection-0000061,o:ItemSet,FasoZine,Métadonnées d'articles provenant du magazine FasoZine (2009-2021),,2009/2021,,,Burkina Faso,Français,In Copyright,,,Frédérick Madore
23452,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/23452,iwac-collection-0000062,o:ItemSet,Documents divers (Bénin),Documents d'archive divers,,,,,Bénin,Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
23453,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/23453,iwac-collection-0000063,o:ItemSet,Documents divers (Burkina Faso),Documents d'archive divers,,,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,,,Louis Audet Gosselin|Frédérick Madore
25304,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/25304,iwac-collection-0000064,o:ItemSet,Agence Togolaise de Presse,Métadonnées d'articles provenant de l'Agence Togolaise de Presse (2020-2024),Agence Togolaise de Presse,2020/2024,,,Togo,Français,In Copyright,Agence Togolaise de Presse,,Frédérick Madore
26319,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/26319,iwac-collection-0000065,o:ItemSet,Le Rendez-Vous,,,2004/2023,,,Togo,Français,In Copyright - Educational Use Permitted,Abi-Alfa Izotou,Frédérick Madore|Bibliothèque nationale du Togo,Frédérick Madore
26327,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/26327,iwac-collection-0000066,o:ItemSet,Documents divers (Togo),Documents d'archive divers,,,,,Togo,Français,In Copyright - Educational Use Permitted,,Éfoé Dométo Mensah,Frédérick Madore
31882,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/31882,iwac-collection-0000067,o:ItemSet,Fraternité Matin,,,,,,Côte d'Ivoire,Français,In Copyright,,Bibliothèque d'État de Berlin|Centre de Recherche et d'Action pour la Paix,Frédérick Madore
43051,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/43051,,o:ItemSet,Agence Ivoirienne de Presse,Métadonnées d'articles provenant de l'Agence Ivoirienne de Presse (2011-2023),,2011/2023,,,Côte d'Ivoire,Français,In Copyright,,,Frédérick Madore
